day_of_year,normal_temp_range,normal_temp_ave,normal_temp_max,normal_temp_min
11-5,15.1,46.7,54.2,39.1
11-6,15,46.2,53.7,38.7
11-7,14.9,45.8,53.2,38.3
11-8,14.8,45.3,52.7,37.9
11-9,14.7,44.8,52.2,37.5
11-10,14.6,44.4,51.7,37.1
11-11,14.5,43.9,51.1,36.7
11-12,14.4,43.4,50.6,36.2
11-13,14.3,42.9,50,35.8
11-14,14.2,42.4,49.5,35.3
11-15,14.1,41.9,48.9,34.9
11-16,14,41.4,48.4,34.4
11-17,13.9,40.9,47.8,33.9
11-18,13.8,40.4,47.3,33.5
11-19,13.7,39.9,46.7,33
11-20,13.6,39.4,46.2,32.5
11-21,13.6,38.8,45.6,32.1
11-22,13.5,38.3,45.1,31.6
11-23,13.4,37.8,44.5,31.1
11-24,13.3,37.3,44,30.7
11-25,13.3,36.8,43.4,30.2
11-26,13.2,36.3,42.9,29.7
11-27,13.1,35.8,42.4,29.3
11-28,13,35.4,41.9,28.8
11-29,13,34.9,41.4,28.4
11-30,12.9,34.4,40.9,28
12-1,12.9,34,40.4,27.5
12-2,12.8,33.5,39.9,27.1
12-3,12.8,33.1,39.5,26.7
12-4,12.7,32.7,39,26.3
12-5,12.7,32.2,38.6,25.9
12-6,12.6,31.8,38.2,25.5
12-7,12.6,31.5,37.8,25.2
12-8,12.6,31.1,37.4,24.8
12-9,12.5,30.7,37,24.4
12-10,12.5,30.4,36.6,24.1
12-11,12.5,30,36.3,23.8
12-12,12.5,29.7,35.9,23.5
12-13,12.5,29.4,35.6,23.2
12-14,12.5,29.1,35.3,22.9
12-15,12.5,28.8,35,22.6
12-16,12.5,28.5,34.8,22.3
12-17,12.5,28.3,34.5,22
12-18,12.5,28,34.3,21.8
12-19,12.5,27.8,34,21.5
12-20,12.5,27.6,33.8,21.3
12-21,12.5,27.3,33.6,21.1
12-22,12.5,27.1,33.4,20.9
12-23,12.6,26.9,33.2,20.7
12-24,12.6,26.7,33,20.5
12-25,12.6,26.6,32.9,20.3
12-26,12.6,26.4,32.7,20.1
12-27,12.7,26.2,32.6,19.9
12-28,12.7,26.1,32.4,19.7
12-29,12.7,26,32.3,19.6
12-30,12.8,25.8,32.2,19.4
12-31,12.8,25.7,32.1,19.3
