,station_id,start_count,end_count,start_min,end_min,start_max,end_max
37,279,6521,6996,2013-06-28 10:04:00,2013-06-28 15:13:00,2017-12-31 16:12:00,2017-12-31 12:00:00
38,350,25127,25630,2013-06-28 08:14:00,2013-06-27 23:39:00,2017-12-31 12:07:00,2017-12-31 11:44:00
39,25,62294,61500,2013-06-28 07:21:00,2013-06-28 07:28:00,2017-12-31 20:26:00,2017-12-30 18:53:00
40,21,37977,37270,2013-06-28 08:03:00,2013-06-28 11:54:00,2017-12-31 15:47:00,2017-12-31 15:16:00
41,28,23170,21979,2013-06-27 12:15:00,2013-06-27 12:16:00,2017-12-30 17:16:00,2017-12-31 15:19:00
42,55,19296,19507,2013-06-27 16:42:00,2013-06-27 15:27:00,2017-12-30 18:14:00,2017-12-26 21:27:00
43,252,6287,5720,2013-06-28 11:05:00,2013-06-29 12:28:00,2017-12-22 12:48:00,2017-12-30 13:49:00
44,59,86131,92521,2013-06-27 21:54:00,2013-06-27 20:05:00,2017-12-31 22:50:00,2017-12-31 18:56:00
45,232,44880,45545,2013-06-28 11:21:00,2013-06-30 14:47:00,2017-12-31 20:17:00,2017-12-31 21:44:00
46,36,97360,89640,2013-06-27 18:21:00,2013-06-27 18:37:00,2017-12-31 16:18:00,2017-12-31 15:28:00
47,66,86169,83135,2013-06-28 07:30:00,2013-06-28 08:15:00,2017-12-31 11:03:00,2017-12-31 21:10:00
48,22,30296,30373,2013-06-28 08:32:00,2013-06-28 08:40:00,2017-12-31 16:21:00,2017-12-31 21:31:00
49,62,29226,28323,2013-06-28 12:03:00,2013-06-28 10:12:00,2017-12-28 22:42:00,2017-12-30 10:02:00
50,77,140790,134719,2013-06-27 21:15:00,2013-06-28 06:24:00,2017-12-31 16:55:00,2017-12-31 15:32:00
51,5,37470,38588,2013-06-28 07:08:00,2013-06-28 12:46:00,2017-12-29 17:14:00,2017-12-31 17:15:00
52,84,38482,35659,2013-06-28 12:09:00,2013-06-28 12:29:00,2017-12-31 12:43:00,2017-12-31 16:29:00
53,349,37843,35631,2013-06-27 15:15:00,2013-06-27 15:05:00,2017-12-31 18:48:00,2017-12-31 17:50:00
54,190,30718,29635,2013-06-27 19:47:00,2013-06-27 19:38:00,2017-12-31 12:05:00,2017-12-31 18:23:00
55,97,82471,80268,2013-06-28 14:57:00,2013-06-28 15:53:00,2017-12-24 15:56:00,2017-12-24 15:47:00
56,57,30996,34066,2013-06-28 15:03:00,2013-06-28 14:28:00,2017-12-31 15:44:00,2017-12-31 19:41:00
57,94,87321,89397,2013-06-27 19:20:00,2013-06-27 19:44:00,2017-12-31 16:08:00,2017-12-31 15:05:00
58,46,35911,28994,2013-06-28 09:00:00,2013-06-27 20:50:00,2017-12-31 21:05:00,2017-12-31 21:04:00
59,81,100313,95669,2013-06-27 18:32:00,2013-06-27 18:37:00,2017-12-31 16:52:00,2017-12-30 17:41:00
60,33,58685,55759,2013-06-28 16:32:00,2013-06-28 14:53:00,2017-12-31 19:05:00,2017-12-31 19:05:00
61,47,83923,87900,2013-06-28 16:58:00,2013-06-28 16:27:00,2017-12-31 19:47:00,2017-12-31 19:47:00
62,56,77660,69209,2013-06-28 13:48:00,2013-06-28 13:53:00,2017-12-31 13:46:00,2017-12-31 15:25:00
63,322,20587,20732,2013-06-28 17:30:00,2013-06-28 17:01:00,2017-12-31 17:32:00,2017-12-31 17:14:00
64,320,30682,29229,2013-06-27 15:54:00,2013-06-28 11:53:00,2017-12-31 21:25:00,2017-12-31 10:57:00
65,14,15474,16275,2013-06-28 18:52:00,2013-06-28 15:04:00,2017-12-31 14:20:00,2017-12-30 16:28:00
66,15,17257,17058,2013-06-28 07:27:00,2013-06-27 23:51:00,2017-12-31 20:49:00,2017-12-31 14:22:00
67,87,29694,29190,2013-06-28 19:17:00,2013-06-28 19:00:00,2017-12-30 11:36:00,2017-12-31 14:36:00
68,71,51582,53377,2013-06-28 20:00:00,2013-06-28 20:02:00,2017-12-31 18:19:00,2017-12-31 14:09:00
69,108,31476,31424,2013-06-28 07:06:00,2013-06-28 13:54:00,2017-12-28 11:31:00,2017-12-31 19:36:00
70,249,58777,59039,2013-06-28 20:58:00,2013-06-28 13:54:00,2017-12-31 09:59:00,2017-12-31 09:26:00
71,93,34684,34244,2013-06-29 07:30:00,2013-06-28 17:37:00,2017-12-31 23:41:00,2017-12-31 15:06:00
72,68,28588,26867,2013-06-27 14:56:00,2013-06-27 14:57:00,2017-12-31 10:47:00,2017-12-31 06:22:00
73,58,64626,63364,2013-06-28 08:09:00,2013-06-28 12:30:00,2017-12-31 08:32:00,2017-12-31 10:32:00
74,251,17142,17632,2013-06-28 08:37:00,2013-06-27 19:10:00,2017-12-31 15:22:00,2017-12-31 21:15:00
75,49,95020,92973,2013-06-29 10:36:00,2013-06-28 17:50:00,2017-12-31 23:17:00,2017-12-31 16:03:00
76,351,2603,2547,2013-06-28 11:39:00,2013-06-28 12:48:00,2017-12-11 11:56:00,2017-12-18 19:34:00
77,149,12623,11379,2013-06-28 09:59:00,2013-06-29 12:34:00,2017-12-31 21:35:00,2017-12-30 12:44:00
78,262,1974,2198,2013-06-28 14:36:00,2013-06-28 17:05:00,2017-12-31 11:57:00,2017-12-31 10:51:00
79,43,116547,120354,2013-06-28 16:07:00,2013-06-28 15:49:00,2017-12-31 14:45:00,2017-12-30 20:02:00
80,50,52933,48938,2013-06-28 12:50:00,2013-06-28 08:25:00,2017-12-29 17:49:00,2017-12-30 18:51:00
81,53,65164,63463,2013-06-29 12:08:00,2013-06-29 14:05:00,2017-12-31 20:20:00,2017-12-31 20:32:00
82,121,10289,9261,2013-06-29 13:03:00,2013-06-29 13:59:00,2017-12-30 13:40:00,2017-12-29 17:29:00
83,16,28663,28303,2013-06-28 06:57:00,2013-06-27 22:39:00,2017-12-30 07:14:00,2017-12-31 01:21:00
84,80,44072,44809,2013-06-29 12:53:00,2013-06-29 14:03:00,2017-12-31 16:09:00,2017-12-31 16:16:00
85,13,48351,48740,2013-06-29 13:41:00,2013-06-29 15:26:00,2017-12-31 16:54:00,2017-12-31 16:13:00
86,92,23981,21478,2013-06-29 15:54:00,2013-06-29 17:52:00,2017-12-31 17:26:00,2017-12-29 10:12:00
87,181,87778,92214,2013-06-29 13:43:00,2013-06-29 13:21:00,2017-12-31 20:08:00,2017-12-31 20:08:00
88,23,19745,19194,2013-06-28 20:54:00,2013-06-28 20:57:00,2017-12-29 10:36:00,2017-12-29 18:02:00
89,312,28392,28015,2013-06-30 10:34:00,2013-06-30 11:02:00,2017-12-31 16:39:00,2017-12-31 17:45:00
90,112,50306,55115,2013-06-30 11:02:00,2013-06-29 17:08:00,2017-12-31 19:26:00,2017-12-31 19:20:00
91,86,23894,24314,2013-06-29 16:31:00,2013-06-28 20:55:00,2017-12-30 15:13:00,2017-12-31 16:32:00
92,179,3185,3089,2013-06-30 11:50:00,2013-06-28 05:26:00,2017-12-20 18:37:00,2017-12-16 12:11:00
93,165,29125,27697,2013-06-30 12:25:00,2013-06-29 22:33:00,2017-12-30 15:03:00,2017-12-31 16:24:00
94,328,18533,19099,2013-06-30 13:42:00,2013-07-01 12:05:00,2017-12-29 17:15:00,2017-12-29 12:50:00
95,99,75232,73007,2013-06-28 12:08:00,2013-06-30 14:26:00,2017-12-31 17:52:00,2017-12-31 10:52:00
96,348,3058,3672,2013-06-29 19:37:00,2013-06-27 23:37:00,2017-12-28 08:15:00,2017-12-28 08:01:00
97,319,14734,15195,2013-06-30 16:08:00,2013-06-29 19:40:00,2017-12-29 07:17:00,2017-12-30 04:12:00
98,313,56635,57504,2013-06-30 17:06:00,2013-06-30 03:06:00,2017-12-31 13:29:00,2017-12-31 16:44:00
99,285,15395,15733,2013-06-29 19:34:00,2013-06-29 15:57:00,2017-12-31 00:09:00,2017-12-28 18:54:00
100,255,95853,90592,2013-06-28 20:37:00,2013-06-28 00:50:00,2017-12-31 15:36:00,2017-12-31 23:09:00
101,330,10163,10212,2013-07-02 17:43:00,2013-06-30 18:15:00,2017-12-28 13:17:00,2017-12-30 13:38:00
102,244,19473,20403,2013-06-29 06:26:00,2013-07-02 17:56:00,2017-12-31 14:46:00,2017-12-31 14:01:00
103,305,18736,18932,2013-06-30 16:05:00,2013-06-30 13:14:00,2017-12-29 08:32:00,2017-12-30 04:52:00
104,300,51876,54606,2013-06-28 19:20:00,2013-06-27 14:40:00,2017-12-31 16:30:00,2017-12-31 17:20:00
105,141,82397,83759,2013-07-01 13:36:00,2013-06-30 20:35:00,2017-12-31 10:53:00,2017-12-31 15:23:00
106,166,17429,18004,2013-06-28 07:32:00,2013-06-29 09:57:00,2017-12-30 13:24:00,2017-12-31 22:51:00
107,192,157726,155395,2013-07-04 19:17:00,2013-07-04 09:20:00,2017-12-31 15:49:00,2017-12-31 10:51:00
108,195,124013,82222,2013-07-01 07:36:00,2013-06-29 12:37:00,2017-12-31 17:41:00,2017-12-31 17:14:00
109,250,16150,17616,2013-06-28 13:24:00,2013-07-11 18:32:00,2017-12-28 13:30:00,2017-12-28 12:24:00
110,188,21657,23505,2013-07-11 17:24:00,2013-07-12 16:47:00,2017-12-31 15:52:00,2017-12-30 23:47:00
111,98,61339,56718,2013-07-15 15:40:00,2013-07-15 14:47:00,2017-12-31 16:47:00,2017-12-31 16:22:00
112,273,37974,38619,2013-07-15 20:30:00,2013-07-15 18:03:00,2017-12-31 05:49:00,2017-12-31 20:50:00
113,169,15914,13716,2013-07-15 17:59:00,2013-07-15 18:14:00,2017-12-31 19:27:00,2017-12-28 13:06:00
114,100,85455,85556,2013-07-17 11:55:00,2013-07-17 07:56:00,2017-12-30 11:23:00,2017-12-31 20:29:00
115,115,50906,52072,2013-07-22 12:59:00,2013-07-22 13:00:00,2017-12-31 13:43:00,2017-12-31 14:57:00
116,178,13777,13923,2013-07-21 11:35:00,2013-07-21 11:25:00,2017-12-31 18:49:00,2017-12-28 14:27:00
117,150,46006,47238,2013-07-23 19:57:00,2013-07-23 19:55:00,2017-12-28 08:16:00,2017-12-28 08:15:00
118,147,8490,8230,2013-07-24 15:43:00,2013-07-24 18:22:00,2017-12-30 13:38:00,2017-12-29 16:14:00
119,134,60409,60284,2013-07-23 15:06:00,2013-07-23 15:05:00,2017-12-31 16:14:00,2017-12-31 16:13:00
120,135,5931,6119,2013-07-24 12:22:00,2013-07-24 12:23:00,2017-12-28 13:47:00,2017-12-23 20:00:00
121,153,47472,46372,2013-07-25 17:19:00,2013-07-25 18:13:00,2017-12-31 20:01:00,2017-12-31 14:12:00
122,129,19952,20328,2013-07-25 12:46:00,2013-07-25 12:48:00,2017-12-31 18:52:00,2017-12-31 21:22:00
123,162,15645,17200,2013-07-25 23:23:00,2013-07-25 21:27:00,2017-12-31 16:21:00,2017-12-31 16:21:00
124,167,1526,1715,2013-07-24 13:46:00,2013-07-24 13:47:00,2017-12-26 12:39:00,2017-12-31 19:01:00
125,170,10954,11173,2013-07-23 13:44:00,2013-07-26 18:39:00,2017-12-31 19:31:00,2017-12-31 15:49:00
126,183,30618,29860,2013-07-25 14:53:00,2013-07-25 14:51:00,2017-12-31 11:39:00,2017-12-31 12:12:00
127,123,37167,37834,2013-07-16 14:03:00,2013-07-16 14:05:00,2017-12-31 22:42:00,2017-12-31 15:12:00
128,130,43833,43653,2013-07-26 22:56:00,2013-07-27 03:05:00,2017-12-31 18:07:00,2017-12-31 18:43:00
129,185,9502,9218,2013-07-27 06:38:00,2013-07-27 18:23:00,2017-12-31 18:11:00,2017-12-30 02:37:00
130,116,28535,27990,2013-07-26 15:47:00,2013-07-26 15:51:00,2017-12-31 15:04:00,2017-12-31 19:52:00
131,160,14071,13741,2013-07-27 13:00:00,2013-07-28 03:02:00,2017-12-30 11:52:00,2017-12-31 19:01:00
132,158,30176,30701,2013-07-27 13:48:00,2013-07-26 11:04:00,2017-12-31 14:28:00,2017-12-31 13:06:00
133,171,5237,5108,2013-07-26 19:07:00,2013-07-25 17:44:00,2017-12-26 09:21:00,2017-12-26 12:31:00
134,159,10725,10290,2013-07-16 14:21:00,2013-07-26 12:46:00,2017-12-31 23:58:00,2017-12-28 18:04:00
135,146,18458,18147,2013-07-28 14:01:00,2013-07-28 13:56:00,2017-12-28 08:49:00,2017-12-29 12:53:00
136,119,18099,17526,2013-07-28 15:46:00,2013-07-28 15:33:00,2017-12-31 14:49:00,2017-12-29 06:59:00
137,174,140375,149863,2013-07-27 11:58:00,2013-07-28 15:51:00,2017-12-31 12:26:00,2017-12-31 20:28:00
138,321,50558,50827,2013-07-28 23:59:00,2013-09-21 16:35:00,2017-12-31 10:08:00,2017-12-29 16:14:00
139,122,11858,10690,2013-07-29 09:21:00,2013-07-29 07:19:00,2017-12-22 13:40:00,2017-12-24 07:22:00
140,186,26008,26531,2013-07-28 09:47:00,2013-07-28 18:27:00,2017-12-31 19:06:00,2017-12-31 15:58:00
141,126,51799,53603,2013-07-29 12:19:00,2013-07-29 12:23:00,2017-12-31 17:16:00,2017-12-31 17:16:00
142,163,12415,13603,2013-07-29 15:36:00,2013-07-29 16:51:00,2017-12-30 17:21:00,2017-12-30 11:55:00
143,154,24361,23817,2013-07-29 20:28:00,2013-07-29 17:51:00,2017-12-31 15:25:00,2017-12-31 17:43:00
144,152,33602,31898,2013-07-31 15:52:00,2013-07-29 19:43:00,2017-12-31 17:57:00,2017-12-31 16:37:00
145,137,18563,17956,2013-07-31 19:03:00,2013-07-31 15:52:00,2017-12-31 10:47:00,2017-12-30 20:06:00
146,173,62414,65471,2013-08-01 12:08:00,2013-08-01 11:00:00,2017-12-31 20:05:00,2017-12-30 10:27:00
147,176,91904,94143,2013-08-01 15:43:00,2013-08-01 14:48:00,2017-12-31 21:16:00,2017-12-31 20:49:00
148,118,46133,42944,2013-08-01 16:00:00,2013-08-01 19:28:00,2017-12-31 13:03:00,2017-12-31 11:47:00
149,224,26548,26455,2013-08-01 16:24:00,2013-08-02 13:43:00,2017-12-30 11:58:00,2017-12-30 00:06:00
150,110,92973,95969,2013-08-01 17:48:00,2013-08-01 17:13:00,2017-12-31 18:50:00,2017-12-31 17:35:00
151,106,43805,41472,2013-08-01 19:39:00,2013-08-01 19:25:00,2017-12-30 19:21:00,2017-12-30 13:06:00
152,140,70235,74015,2013-08-01 18:01:00,2013-08-01 17:39:00,2017-12-31 14:25:00,2017-12-31 20:10:00
